dd hh:mm:ss.mss,session_id,sql_text,login_name,wait_info,CPU,tempdb_allocations,tempdb_current,blocking_session_id,reads,writes,physical_reads,used_memory,status,tran_start_time,open_tran_count,percent_complete,host_name,database_name,program_name,start_time,login_time,request_id,collection_time
00 00:00:02.000,150,SELECT COUNT(*) FROM dbo.EventLog WHERE ProcessedFlag = 0,svc_billing,,23,0,3,,208,8,2,321,running,,0,0.0,WEB-NODE-08,ArchiveDB,MyApp.OrderService,2026-10-05 10:30:00.000,2026-10-04 22:30:00.000,0,2026-10-05 10:30:00.000
00 00:00:01.000,140,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,svc_reporting,,27,4,2,,487,7,0,972,sleeping,,0,0.0,APP-SVC-02,StagingDB,ReportingPortal.WebApp,2026-10-05 10:30:00.000,2026-10-05 05:30:00.000,0,2026-10-05 10:30:00.000
00 00:00:00.000,150,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",svc_etl,,12,0,3,,577,8,4,145,running,,0,0.0,APP-SVC-02,AppDB01,ETL.HourlySync,2026-10-05 10:30:05.000,2026-10-04 22:30:00.000,0,2026-10-05 10:30:05.000
00 00:00:02.000,141,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",dbo_admin,,25,4,0,,303,9,1,168,running,,0,0.0,WEB-NODE-07,AppDB01,.Net SqlClient Data Provider,2026-10-05 10:30:05.000,2026-10-04 15:30:00.000,0,2026-10-05 10:30:05.000
00 00:00:01.000,140,UPDATE dbo.InventoryLevels SET Qty = Qty - @p1 WHERE ItemId = @p2,svc_billing,,9,1,4,,53,5,0,460,running,,0,0.0,RPT-WRK-01,ReportingDB,ReportingPortal.WebApp,2026-10-05 10:30:10.000,2026-10-05 05:30:00.000,0,2026-10-05 10:30:10.000
00 00:00:00.000,141,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_billing,,10,0,4,,283,8,2,597,running,,0,0.0,ETL-WRK-03,ArchiveDB,SSIS-Package-NightlyLoad,2026-10-05 10:30:10.000,2026-10-04 15:30:00.000,0,2026-10-05 10:30:10.000
00 00:00:00.000,150,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,app_batch,,14,0,4,,298,9,4,601,sleeping,,0,0.0,ETL-WRK-03,BillingDB,ETL.HourlySync,2026-10-05 10:30:15.000,2026-10-04 22:30:00.000,0,2026-10-05 10:30:15.000
00 00:00:00.000,150,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,dbo_admin,,4,2,2,,378,3,4,138,sleeping,,0,0.0,RPT-WRK-01,StagingDB,SSIS-Package-NightlyLoad,2026-10-05 10:30:20.000,2026-10-04 22:30:00.000,0,2026-10-05 10:30:20.000
00 00:00:02.000,162,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,app_batch,,10,4,3,,32,4,0,797,sleeping,,0,0.0,APP-SVC-01,ReportingDB,BatchJobRunner,2026-10-05 10:30:20.000,2026-10-05 04:30:00.000,0,2026-10-05 10:30:20.000
00 00:00:00.000,150,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,app_batch,,18,3,3,,125,8,0,283,sleeping,,0,0.0,WEB-NODE-08,ReportingDB,ETL.HourlySync,2026-10-05 10:30:25.000,2026-10-04 22:30:00.000,0,2026-10-05 10:30:25.000
00 00:00:01.000,162,"SELECT o.OrderId, o.Status, o.CreatedDate FROM dbo.Orders o WHERE o.CreatedDate >= @p1 AND o.Status = @p2",svc_billing,,3,3,0,,579,9,1,481,running,,0,0.0,BATCH-SVC-05,ReportingDB,BatchJobRunner,2026-10-05 10:30:25.000,2026-10-05 04:30:00.000,0,2026-10-05 10:30:25.000
00 00:00:02.000,150,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,dbo_admin,,5,4,3,,463,4,2,621,sleeping,,0,0.0,APP-SVC-01,ArchiveDB,ETL.HourlySync,2026-10-05 10:30:30.000,2026-10-04 22:30:00.000,0,2026-10-05 10:30:30.000
00 00:00:00.000,140,DELETE FROM dbo.StagingRows WHERE BatchId = @p1,app_batch,,3,3,1,,69,1,1,869,sleeping,,0,0.0,APP-SVC-01,AppDB01,AdHocQueryTool,2026-10-05 10:30:35.000,2026-10-05 05:30:00.000,0,2026-10-05 10:30:35.000
00 00:00:00.000,141,EXEC dbo.usp_LoadDailyExtract @RunDate = @p1,svc_orders,,9,4,0,,287,9,3,483,running,,0,0.0,WEB-NODE-08,ReportingDB,SSIS-Package-NightlyLoad,2026-10-05 10:30:35.000,2026-10-04 15:30:00.000,0,2026-10-05 10:30:35.000
00 00:00:01.000,141,"SELECT ItemId, WarehouseId, Qty FROM dbo.InventoryLevels WHERE WarehouseId = @p1",svc_inventory,,26,2,1,,411,10,4,141,sleeping,,0,0.0,RPT-WRK-01,BillingDB,SSIS-Package-NightlyLoad,2026-10-05 10:30:40.000,2026-10-04 15:30:00.000,0,2026-10-05 10:30:40.000
00 00:00:00.000,162,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,svc_etl,,4,4,0,,142,4,3,622,running,,0,0.0,RPT-WRK-01,InventoryDB,ETL.HourlySync,2026-10-05 10:30:40.000,2026-10-05 04:30:00.000,0,2026-10-05 10:30:40.000
00 00:00:02.000,140,"SELECT AccountId, Balance FROM dbo.BillingAccounts WHERE LastStatementDate < @p1",svc_reporting,,6,2,2,,131,2,0,941,sleeping,,0,0.0,APP-SVC-02,StagingDB,ReportingPortal.WebApp,2026-10-05 10:30:45.000,2026-10-05 05:30:00.000,0,2026-10-05 10:30:45.000
00 00:00:02.000,162,UPDATE dbo.Orders SET Status = @p1 WHERE OrderId = @p2,dbo_admin,,28,3,3,,66,1,3,966,running,,0,0.0,RPT-WRK-01,InventoryDB,ReportingPortal.WebApp,2026-10-05 10:30:50.000,2026-10-05 04:30:00.000,0,2026-10-05 10:30:50.000
00 00:00:02.000,150,EXEC dbo.usp_RecalculateBillingCycle @AccountId = @p1,svc_etl,,28,0,1,,432,6,3,877,running,,0,0.0,APP-SVC-01,AppDB01,ETL.HourlySync,2026-10-05 10:30:55.000,2026-10-04 22:30:00.000,0,2026-10-05 10:30:55.000
00 00:00:02.000,140,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',dbo_admin,,23,0,1,,532,9,4,989,running,,0,0.0,RPT-WRK-01,AppDB01,BatchJobRunner,2026-10-05 10:30:55.000,2026-10-05 05:30:00.000,0,2026-10-05 10:30:55.000
00 00:00:01.000,141,EXEC dbo.usp_LoadDailyExtract @RunDate = @p1,svc_orders,,21,3,0,,203,10,0,799,sleeping,,0,0.0,APP-SVC-01,AppDB01,BatchJobRunner,2026-10-05 10:31:00.000,2026-10-04 15:30:00.000,0,2026-10-05 10:31:00.000
00 00:00:01.000,162,SELECT * FROM dbo.CustomerNotes WHERE Note LIKE '%priority%',svc_orders,,23,0,4,,691,5,4,465,running,,0,0.0,APP-SVC-02,OrdersDB,.Net SqlClient Data Provider,2026-10-05 10:31:00.000,2026-10-05 04:30:00.000,0,2026-10-05 10:31:00.000
00 00:00:00.000,141,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,app_batch,,23,3,1,,339,9,0,568,sleeping,,0,0.0,APP-SVC-02,BillingDB,BatchJobRunner,2026-10-05 10:31:05.000,2026-10-04 15:30:00.000,0,2026-10-05 10:31:05.000
00 00:00:02.000,162,"INSERT INTO dbo.AuditTrail (EntityId, ChangeType, ChangedAt) VALUES (@p1, @p2, @p3)",dbo_admin,,20,2,1,,608,0,2,671,sleeping,,0,0.0,ETL-WRK-03,ReportingDB,MyApp.OrderService,2026-10-05 10:31:05.000,2026-10-05 04:30:00.000,0,2026-10-05 10:31:05.000
00 00:00:02.000,162,SELECT TOP 200 * FROM dbo.ShipmentEvents WHERE EventDate BETWEEN @p1 AND @p2 ORDER BY EventDate DESC,app_batch,,15,3,3,,439,1,3,990,running,,0,0.0,ETL-WRK-03,AppDB01,ReportingPortal.WebApp,2026-10-05 10:31:10.000,2026-10-05 04:30:00.000,0,2026-10-05 10:31:10.000
